<역별 승하차인원>,,,,,,,,,,,,,,,,,,,,,
전체,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~01
서울역(1),승차," 17,465 "," 18,434 "," 50,313 "," 93,398 "," 78,705 "," 86,342 "," 93,585 "," 97,707 "," 102,608 "," 101,710 "," 93,849 "," 122,597 "," 142,272 "," 207,172 "," 156,209 "," 108,909 "," 116,350 "," 88,902 "," 49,049 "," 4,558 "
,하차," 7,829 "," 48,553 "," 110,250 "," 233,852 "," 121,983 "," 79,628 "," 75,577 "," 70,984 "," 80,388 "," 80,263 "," 79,592 "," 84,211 "," 91,308 "," 98,175 "," 81,918 "," 65,388 "," 59,285 "," 50,266 "," 32,182 "," 13,943 "
시 청(1),승차," 2,993 "," 4,473 "," 7,633 "," 10,404 "," 13,328 "," 16,953 "," 25,467 "," 27,265 "," 36,393 "," 41,128 "," 48,352 "," 52,182 "," 63,118 "," 117,857 "," 85,833 "," 74,034 "," 85,680 "," 69,327 "," 24,653 "," 1,691 "
,하차," 4,142 "," 19,730 "," 67,995 "," 175,458 "," 83,777 "," 48,363 "," 47,519 "," 42,646 "," 45,465 "," 42,882 "," 38,720 "," 36,738 "," 37,284 "," 45,942 "," 43,780 "," 25,171 "," 14,515 "," 8,552 "," 5,349 "," 1,603 "
종 각,승차," 7,371 "," 7,836 "," 14,545 "," 24,578 "," 23,691 "," 32,290 "," 47,470 "," 57,187 "," 76,131 "," 78,721 "," 87,480 "," 96,491 "," 115,106 "," 188,578 "," 156,569 "," 138,406 "," 176,800 "," 182,774 "," 86,306 "," 6,074 "
,하차," 4,861 "," 29,757 "," 93,579 "," 245,221 "," 153,933 "," 88,680 "," 83,402 "," 78,253 "," 84,694 "," 80,095 "," 71,320 "," 75,733 "," 91,056 "," 121,063 "," 106,523 "," 49,591 "," 27,783 "," 18,249 "," 10,439 "," 2,429 "
종로3(1),승차," 7,683 "," 6,733 "," 11,103 "," 20,647 "," 20,878 "," 32,775 "," 46,390 "," 62,213 "," 79,812 "," 89,760 "," 109,496 "," 117,960 "," 122,073 "," 138,037 "," 124,621 "," 87,746 "," 99,388 "," 93,874 "," 43,373 "," 4,284 "
,하차," 2,119 "," 18,872 "," 34,622 "," 103,951 "," 110,831 "," 95,839 "," 93,370 "," 97,363 "," 106,736 "," 106,276 "," 91,369 "," 77,952 "," 72,634 "," 84,674 "," 77,413 "," 35,839 "," 18,949 "," 12,579 "," 8,339 "," 4,016 "
종로5가,승차," 3,159 "," 4,416 "," 8,070 "," 12,328 "," 16,909 "," 24,445 "," 34,454 "," 43,485 "," 56,337 "," 63,083 "," 72,147 "," 78,378 "," 87,662 "," 112,569 "," 83,818 "," 51,502 "," 46,205 "," 35,584 "," 14,442 "," 1,047 "
,하차," 2,977 "," 14,274 "," 51,907 "," 127,936 "," 93,821 "," 67,136 "," 63,338 "," 61,557 "," 63,166 "," 59,980 "," 52,270 "," 44,883 "," 39,772 "," 39,299 "," 27,538 "," 13,731 "," 10,187 "," 8,500 "," 5,253 "," 1,550 "
동대문,승차," 13,570 "," 14,955 "," 28,139 "," 32,650 "," 28,878 "," 25,619 "," 25,431 "," 30,289 "," 33,404 "," 35,811 "," 37,221 "," 38,553 "," 39,791 "," 40,490 "," 33,662 "," 26,227 "," 24,449 "," 22,797 "," 12,488 "," 1,378 "
,하차," 3,176 "," 11,703 "," 18,818 "," 41,963 "," 39,519 "," 38,817 "," 42,117 "," 45,097 "," 45,292 "," 45,933 "," 44,102 "," 40,836 "," 38,522 "," 41,910 "," 40,636 "," 34,080 "," 28,885 "," 25,567 "," 16,863 "," 5,837 "
신설동(1),승차," 7,379 "," 11,384 "," 24,936 "," 33,848 "," 24,614 "," 22,337 "," 25,357 "," 29,247 "," 32,778 "," 32,837 "," 35,917 "," 38,590 "," 42,281 "," 58,866 "," 40,858 "," 27,493 "," 24,016 "," 22,953 "," 8,107 ", 558 
,하차," 1,991 "," 9,248 "," 33,809 "," 77,567 "," 52,622 "," 33,818 "," 29,901 "," 31,321 "," 33,285 "," 29,796 "," 28,097 "," 27,573 "," 28,361 "," 32,842 "," 28,189 "," 19,594 "," 17,165 "," 17,326 "," 12,012 "," 2,975 "
제기동,승차," 5,432 "," 10,675 "," 25,372 "," 32,579 "," 26,940 "," 28,781 "," 34,569 "," 39,531 "," 46,276 "," 49,218 "," 54,800 "," 60,054 "," 57,702 "," 57,808 "," 37,894 "," 22,871 "," 18,794 "," 13,575 "," 4,752 ", 301 
,하차," 2,562 "," 14,188 "," 21,419 "," 53,022 "," 39,372 "," 44,734 "," 47,875 "," 53,633 "," 58,264 "," 57,698 "," 50,276 "," 44,119 "," 37,284 "," 35,514 "," 29,430 "," 17,615 "," 14,610 "," 14,643 "," 9,957 "," 2,285 "
청량리,승차," 20,318 "," 32,688 "," 83,208 "," 117,006 "," 75,323 "," 65,009 "," 70,401 "," 71,667 "," 78,177 "," 79,725 "," 87,285 "," 90,482 "," 95,386 "," 96,655 "," 73,080 "," 60,459 "," 48,159 "," 40,716 "," 14,929 ", 963 
,하차," 5,307 "," 24,967 "," 41,351 "," 72,675 "," 74,262 "," 74,185 "," 72,502 "," 77,895 "," 86,168 "," 89,817 "," 87,378 "," 85,742 "," 87,603 "," 101,939 "," 92,060 "," 65,208 "," 59,219 "," 58,019 "," 38,778 "," 11,914 "
동묘앞,승차," 2,779 "," 3,034 "," 5,963 "," 7,454 "," 6,531 "," 6,421 "," 8,773 "," 13,398 "," 16,461 "," 17,350 "," 22,413 "," 26,155 "," 26,026 "," 26,744 "," 17,938 "," 10,419 "," 7,783 "," 6,456 "," 2,630 ", 313 
,하차, 430 ," 3,736 "," 9,412 "," 34,058 "," 21,584 "," 14,559 "," 14,944 "," 18,318 "," 21,588 "," 21,286 "," 18,977 "," 16,956 "," 14,506 "," 13,029 "," 9,488 "," 6,428 "," 5,465 "," 5,243 "," 4,700 "," 2,800 "
시 청(2),승차," 2,035 "," 3,074 "," 8,395 "," 11,645 "," 14,225 "," 18,935 "," 26,720 "," 26,947 "," 34,564 "," 38,134 "," 45,470 "," 47,036 "," 65,731 "," 140,195 "," 93,219 "," 59,935 "," 66,279 "," 53,086 "," 21,689 "," 3,157 "
,하차," 1,776 "," 17,387 "," 97,659 "," 216,553 "," 81,613 "," 40,417 "," 38,851 "," 35,886 "," 41,671 "," 40,616 "," 39,145 "," 36,505 "," 38,273 "," 42,482 "," 39,071 "," 22,528 "," 14,108 "," 10,591 "," 7,401 "," 2,831 "
을지입구,승차," 2,466 "," 2,358 "," 5,710 "," 9,584 "," 15,440 "," 21,197 "," 32,455 "," 39,058 "," 59,700 "," 71,537 "," 86,276 "," 96,672 "," 117,474 "," 213,881 "," 179,670 "," 163,459 "," 141,696 "," 115,304 "," 45,427 "," 6,498 "
,하차," 1,832 "," 19,798 "," 95,314 "," 301,554 "," 161,928 "," 78,929 "," 79,215 "," 78,458 "," 84,275 "," 83,512 "," 81,644 "," 77,867 "," 80,932 "," 89,425 "," 67,771 "," 24,484 "," 12,678 "," 7,630 "," 5,020 "," 6,377 "
을지3(2),승차," 1,029 "," 2,127 "," 4,082 "," 6,641 "," 9,357 "," 12,763 "," 15,863 "," 18,037 "," 22,419 "," 25,725 "," 27,697 "," 29,746 "," 36,119 "," 72,364 "," 61,117 "," 34,836 "," 31,534 "," 24,620 "," 11,134 "," 1,899 "
,하차," 1,034 "," 11,296 "," 39,207 "," 116,054 "," 64,935 "," 35,232 "," 27,715 "," 22,540 "," 25,083 "," 24,066 "," 21,466 "," 19,638 "," 19,287 "," 19,578 "," 14,224 "," 6,841 "," 4,477 "," 3,464 "," 2,933 "," 1,255 "
을지4가,승차, 896 ," 2,015 "," 3,572 "," 5,919 "," 9,319 "," 12,726 "," 16,408 "," 19,145 "," 23,808 "," 27,474 "," 31,318 "," 33,534 "," 39,854 "," 67,313 "," 57,769 "," 25,343 "," 17,927 "," 11,116 "," 4,919 ", 857 
,하차, 961 ," 8,790 "," 26,713 "," 93,562 "," 59,011 "," 33,157 "," 29,525 "," 25,108 "," 24,848 "," 25,376 "," 23,138 "," 19,755 "," 16,371 "," 12,628 "," 8,055 "," 4,017 "," 3,227 "," 2,736 "," 2,117 ", 667 
동운(2),승차," 9,832 "," 9,164 "," 11,435 "," 15,277 "," 15,174 "," 16,376 "," 20,760 "," 26,390 "," 30,351 "," 38,314 "," 47,037 "," 59,301 "," 61,082 "," 65,065 "," 51,770 "," 40,778 "," 38,001 "," 37,075 "," 25,792 "," 4,897 "
,하차, 933 ," 11,717 "," 28,801 "," 67,006 "," 38,118 "," 37,690 "," 39,403 "," 41,140 "," 47,159 "," 50,269 "," 47,580 "," 43,159 "," 40,214 "," 43,680 "," 51,145 "," 39,698 "," 32,499 "," 25,094 "," 16,342 "," 5,737 "
신당,승차," 7,779 "," 12,349 "," 27,981 "," 38,776 "," 24,809 "," 19,077 "," 19,234 "," 20,296 "," 22,763 "," 23,359 "," 25,353 "," 28,178 "," 30,898 "," 38,462 "," 35,189 "," 23,969 "," 20,725 "," 15,190 "," 7,399 "," 1,142 "
,하차," 1,180 "," 8,336 "," 17,844 "," 46,698 "," 31,595 "," 21,658 "," 21,538 "," 22,562 "," 24,799 "," 26,474 "," 27,079 "," 28,066 "," 28,725 "," 37,003 "," 35,566 "," 23,918 "," 21,534 "," 20,790 "," 14,215 "," 4,251 "
상왕십리,승차," 7,678 "," 12,812 "," 33,152 "," 52,000 "," 25,284 "," 19,538 "," 15,801 "," 16,150 "," 17,179 "," 16,261 "," 15,521 "," 16,419 "," 18,586 "," 26,327 "," 19,741 "," 13,925 "," 12,075 "," 9,341 "," 3,853 ", 517 
,하차, 648 ," 5,442 "," 10,149 "," 39,718 "," 19,967 "," 14,831 "," 12,056 "," 12,103 "," 12,991 "," 13,817 "," 16,455 "," 18,086 "," 20,996 "," 28,708 "," 28,802 "," 19,962 "," 19,054 "," 20,229 "," 14,484 "," 4,144 "
왕십리,승차," 6,645 "," 12,502 "," 32,645 "," 46,430 "," 27,202 "," 20,939 "," 21,252 "," 22,619 "," 25,507 "," 24,446 "," 25,768 "," 29,170 "," 35,328 "," 42,676 "," 30,239 "," 23,414 "," 24,172 "," 24,723 "," 16,734 "," 2,850 "
,하차," 1,193 "," 8,937 "," 14,357 "," 32,144 "," 19,804 "," 14,146 "," 14,988 "," 16,763 "," 19,014 "," 18,826 "," 20,216 "," 22,865 "," 27,198 "," 38,643 "," 38,330 "," 28,561 "," 27,164 "," 27,801 "," 22,052 "," 6,838 "
한양대,승차," 2,840 "," 4,759 "," 9,090 "," 14,074 "," 11,163 "," 12,323 "," 16,572 "," 23,712 "," 25,071 "," 32,932 "," 40,752 "," 54,743 "," 66,361 "," 56,840 "," 32,913 "," 29,350 "," 36,398 "," 31,594 "," 17,408 "," 3,371 "
,하차, 780 ," 9,259 "," 33,967 "," 95,911 "," 81,421 "," 67,447 "," 31,943 "," 40,587 "," 34,141 "," 29,364 "," 21,620 "," 20,481 "," 26,008 "," 31,400 "," 23,775 "," 15,519 "," 12,366 "," 11,836 "," 8,993 "," 2,891 "
뚝 섬,승차," 6,004 "," 14,839 "," 44,040 "," 61,312 "," 32,417 "," 23,647 "," 23,406 "," 23,716 "," 25,969 "," 28,729 "," 27,492 "," 28,685 "," 35,697 "," 52,491 "," 36,883 "," 21,347 "," 22,849 "," 15,686 "," 6,202 ", 795 
,하차," 1,128 "," 10,839 "," 26,194 "," 80,973 "," 35,241 "," 19,585 "," 19,126 "," 21,026 "," 23,932 "," 25,302 "," 26,842 "," 28,729 "," 30,032 "," 42,379 "," 42,303 "," 29,346 "," 26,268 "," 29,334 "," 19,827 "," 6,235 "
성 수,승차," 7,932 "," 13,101 "," 32,654 "," 43,004 "," 30,593 "," 25,461 "," 24,257 "," 24,325 "," 29,969 "," 30,609 "," 31,074 "," 33,518 "," 45,253 "," 88,813 "," 67,660 "," 37,906 "," 34,495 "," 26,343 "," 13,476 "," 2,034 "
,하차," 2,755 "," 23,224 "," 53,112 "," 179,607 "," 58,020 "," 26,743 "," 26,673 "," 23,749 "," 23,823 "," 24,488 "," 26,500 "," 28,554 "," 32,386 "," 39,340 "," 36,220 "," 25,735 "," 22,952 "," 22,934 "," 18,524 "," 12,057 "
건 대,승차," 23,676 "," 33,777 "," 90,295 "," 142,493 "," 84,181 "," 52,568 "," 49,475 "," 57,892 "," 64,044 "," 62,744 "," 66,107 "," 72,652 "," 86,280 "," 102,709 "," 88,789 "," 80,173 "," 93,515 "," 102,270 "," 64,848 "," 9,590 "
,하차," 2,387 "," 26,365 "," 37,209 "," 89,681 "," 62,500 "," 53,102 "," 50,020 "," 60,886 "," 68,047 "," 68,735 "," 73,140 "," 85,544 "," 108,114 "," 168,305 "," 175,683 "," 117,984 "," 98,293 "," 93,172 "," 63,441 "," 17,728 "
구 의,승차," 13,507 "," 25,483 "," 78,043 "," 124,220 "," 65,175 "," 39,937 "," 35,954 "," 35,905 "," 38,312 "," 36,319 "," 35,266 "," 36,131 "," 40,474 "," 53,373 "," 35,829 "," 26,431 "," 25,143 "," 21,941 "," 11,496 "," 1,950 "
,하차," 1,502 "," 10,769 "," 19,257 "," 58,271 "," 38,463 "," 27,512 "," 27,053 "," 29,597 "," 32,594 "," 34,082 "," 37,427 "," 41,574 "," 47,811 "," 70,452 "," 74,428 "," 54,595 "," 53,965 "," 54,841 "," 37,363 "," 10,967 "
강 변,승차," 12,065 "," 35,656 "," 123,895 "," 191,360 "," 121,986 "," 102,537 "," 104,340 "," 101,414 "," 101,597 "," 104,580 "," 107,455 "," 116,962 "," 131,927 "," 149,012 "," 132,074 "," 119,169 "," 93,252 "," 72,860 "," 32,315 "," 3,731 "
,하차," 4,913 "," 50,331 "," 66,473 "," 91,145 "," 94,599 "," 81,923 "," 82,156 "," 87,351 "," 99,733 "," 109,377 "," 121,359 "," 134,361 "," 144,015 "," 177,143 "," 165,025 "," 117,752 "," 103,595 "," 95,085 "," 61,009 "," 13,222 "
성 내,승차," 2,744 "," 12,433 "," 43,439 "," 54,991 "," 30,194 "," 24,113 "," 24,393 "," 24,233 "," 24,548 "," 24,115 "," 25,407 "," 29,377 "," 42,762 "," 48,810 "," 28,835 "," 21,484 "," 17,636 "," 12,811 "," 5,708 "," 1,026 "
,하차," 2,023 "," 31,286 "," 29,473 "," 42,351 "," 25,494 "," 21,692 "," 19,775 "," 21,602 "," 23,090 "," 24,190 "," 23,033 "," 24,452 "," 27,071 "," 35,455 "," 35,314 "," 25,188 "," 22,610 "," 22,800 "," 17,510 "," 5,728 "
잠 실,승차," 15,702 "," 49,582 "," 178,192 "," 246,272 "," 149,538 "," 103,022 "," 102,144 "," 104,737 "," 118,859 "," 119,566 "," 130,692 "," 141,830 "," 163,520 "," 211,909 "," 180,570 "," 164,374 "," 134,507 "," 119,293 "," 51,803 "," 5,392 "
,하차," 4,488 "," 38,364 "," 80,853 "," 171,584 "," 152,610 "," 97,828 "," 96,179 "," 102,451 "," 109,821 "," 114,775 "," 116,516 "," 131,317 "," 152,998 "," 209,881 "," 194,715 "," 128,591 "," 120,020 "," 123,661 "," 85,603 "," 22,910 "
신 천,승차," 8,315 "," 15,970 "," 53,762 "," 74,997 "," 39,939 "," 27,401 "," 25,531 "," 26,776 "," 27,506 "," 26,240 "," 27,428 "," 33,821 "," 49,704 "," 55,052 "," 37,601 "," 32,254 "," 34,233 "," 38,571 "," 26,175 "," 3,794 "
,하차," 1,407 "," 31,312 "," 24,589 "," 31,093 "," 28,892 "," 20,563 "," 20,556 "," 21,979 "," 24,670 "," 27,025 "," 28,756 "," 33,561 "," 42,246 "," 63,560 "," 68,131 "," 47,203 "," 38,206 "," 34,366 "," 23,470 "," 7,796 "
종합운동,승차," 2,496 "," 10,029 "," 29,197 "," 40,776 "," 28,634 "," 19,940 "," 18,861 "," 23,068 "," 25,401 "," 28,557 "," 32,318 "," 38,646 "," 41,399 "," 39,480 "," 35,261 "," 64,843 "," 50,299 "," 52,354 "," 22,758 ", 749 
,하차," 1,209 "," 14,939 "," 33,693 "," 51,084 "," 32,309 "," 25,489 "," 21,902 "," 27,437 "," 26,599 "," 31,020 "," 49,935 "," 67,816 "," 57,368 "," 70,754 "," 57,101 "," 25,739 "," 22,736 "," 24,267 "," 15,935 "," 3,773 "
삼 성,승차," 6,961 "," 14,629 "," 32,889 "," 44,500 "," 41,747 "," 43,256 "," 60,301 "," 74,698 "," 97,641 "," 112,105 "," 133,485 "," 154,412 "," 194,358 "," 332,211 "," 240,173 "," 191,407 "," 175,971 "," 147,775 "," 48,656 "," 5,959 "
,하차," 5,791 "," 45,066 "," 155,708 "," 403,418 "," 247,617 "," 127,998 "," 121,357 "," 125,256 "," 137,327 "," 134,850 "," 120,329 "," 116,738 "," 118,396 "," 130,726 "," 103,409 "," 52,013 "," 36,756 "," 31,119 "," 18,643 "," 14,841 "
선 릉,승차," 8,814 "," 18,853 "," 39,883 "," 57,160 "," 54,053 "," 56,357 "," 66,754 "," 73,898 "," 90,448 "," 91,931 "," 103,986 "," 113,798 "," 177,476 "," 312,520 "," 210,222 "," 127,400 "," 127,908 "," 112,611 "," 43,210 "," 6,250 "
,하차," 6,255 "," 44,841 "," 151,023 "," 409,782 "," 249,406 "," 100,117 "," 79,700 "," 75,711 "," 82,766 "," 79,412 "," 71,963 "," 72,931 "," 82,090 "," 89,002 "," 72,300 "," 45,441 "," 36,093 "," 33,515 "," 22,692 "," 9,415 "
역 삼,승차," 6,231 "," 12,101 "," 21,798 "," 33,038 "," 33,277 "," 38,447 "," 49,214 "," 53,167 "," 66,838 "," 69,817 "," 80,763 "," 83,086 "," 130,629 "," 270,284 "," 172,000 "," 102,224 "," 109,758 "," 93,417 "," 33,908 "," 5,668 "
,하차," 7,473 "," 33,971 "," 146,570 "," 433,981 "," 237,590 "," 90,308 "," 71,512 "," 59,299 "," 65,387 "," 66,795 "," 59,818 "," 61,326 "," 65,213 "," 70,726 "," 59,511 "," 35,398 "," 26,175 "," 21,077 "," 14,038 "," 4,981 "
강 남,승차," 15,916 "," 29,785 "," 59,817 "," 88,993 "," 71,391 "," 73,463 "," 95,645 "," 111,468 "," 145,307 "," 141,569 "," 162,306 "," 174,384 "," 228,344 "," 343,805 "," 265,809 "," 209,983 "," 258,682 "," 284,400 "," 130,027 "," 19,676 "
,하차," 13,122 "," 90,820 "," 216,887 "," 412,832 "," 304,197 "," 157,500 "," 134,063 "," 127,664 "," 153,040 "," 149,648 "," 141,022 "," 151,285 "," 187,498 "," 270,297 "," 240,648 "," 127,347 "," 85,620 "," 73,533 "," 50,950 "," 17,279 "
교대(2),승차," 3,799 "," 13,697 "," 32,170 "," 45,719 "," 40,423 "," 43,862 "," 51,593 "," 52,704 "," 68,316 "," 72,446 "," 83,228 "," 84,628 "," 107,258 "," 166,490 "," 101,235 "," 73,530 "," 84,376 "," 108,265 "," 33,540 "," 5,120 "
,하차," 5,296 "," 35,916 "," 108,921 "," 198,721 "," 171,387 "," 91,588 "," 72,082 "," 68,645 "," 77,656 "," 73,772 "," 70,139 "," 66,088 "," 70,449 "," 86,765 "," 70,100 "," 41,435 "," 34,933 "," 32,924 "," 21,311 "," 6,757 "
서 초,승차," 1,804 "," 6,115 "," 14,149 "," 23,834 "," 19,013 "," 17,955 "," 21,106 "," 23,746 "," 27,303 "," 30,801 "," 34,231 "," 34,833 "," 45,016 "," 88,587 "," 47,757 "," 29,832 "," 31,943 "," 27,107 "," 10,385 "," 1,480 "
,하차," 3,422 "," 15,957 "," 43,927 "," 114,664 "," 74,305 "," 33,773 "," 27,431 "," 26,234 "," 29,551 "," 26,183 "," 23,079 "," 22,129 "," 25,647 "," 30,687 "," 24,959 "," 13,905 "," 12,133 "," 12,006 "," 7,966 "," 2,477 "
방 배,승차," 4,075 "," 13,770 "," 35,340 "," 52,988 "," 36,754 "," 27,296 "," 27,793 "," 32,257 "," 37,585 "," 35,832 "," 38,604 "," 42,415 "," 50,073 "," 73,843 "," 50,203 "," 33,545 "," 35,433 "," 33,318 "," 13,423 "," 2,044 "
,하차," 2,878 "," 12,707 "," 30,020 "," 83,587 "," 71,727 "," 39,445 "," 30,374 "," 31,121 "," 34,210 "," 32,890 "," 31,100 "," 34,663 "," 41,650 "," 47,424 "," 44,774 "," 30,272 "," 28,127 "," 29,610 "," 20,120 "," 6,475 "
사당(2),승차," 13,197 "," 26,170 "," 77,222 "," 112,274 "," 72,961 "," 52,004 "," 51,107 "," 54,322 "," 62,341 "," 59,972 "," 65,409 "," 67,797 "," 80,863 "," 114,883 "," 89,992 "," 72,319 "," 77,135 "," 84,139 "," 47,563 "," 8,048 "
,하차," 4,098 "," 34,359 "," 68,994 "," 119,036 "," 78,934 "," 57,001 "," 50,885 "," 52,053 "," 55,340 "," 55,445 "," 61,067 "," 69,651 "," 91,590 "," 141,102 "," 135,440 "," 88,982 "," 82,523 "," 87,422 "," 58,316 "," 22,225 "
낙성대,승차," 13,370 "," 32,677 "," 103,585 "," 141,291 "," 73,744 "," 45,323 "," 41,304 "," 43,927 "," 47,157 "," 43,023 "," 41,372 "," 46,620 "," 53,300 "," 64,809 "," 46,277 "," 33,786 "," 33,990 "," 27,348 "," 15,133 "," 2,112 "
,하차," 1,981 "," 12,861 "," 27,694 "," 64,436 "," 50,397 "," 38,571 "," 28,922 "," 34,409 "," 33,645 "," 35,967 "," 39,565 "," 44,441 "," 52,071 "," 78,324 "," 86,164 "," 67,352 "," 68,287 "," 74,751 "," 55,111 "," 16,647 "
서울대,승차," 33,575 "," 49,883 "," 150,084 "," 196,970 "," 110,307 "," 71,289 "," 67,367 "," 73,208 "," 80,117 "," 76,998 "," 80,389 "," 89,668 "," 101,229 "," 115,824 "," 84,187 "," 67,083 "," 66,978 "," 64,394 "," 33,362 "," 4,783 "
